model,model_slug,outer_fold,held_out_subject,n_train_windows,n_test_windows,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,log_loss,brier_multiclass,fit_time_pc_s,predict_fold_time_pc_s,predict_per_window_pc_us,inner_best_f1_macro,selected_parameters
Random Forest compact,random_forest_compact,1,1,4284,1071,0.9477124183006536,0.9477124183006537,0.9525954249103544,0.9477124183006537,0.9475587818907373,0.1980645563655868,0.06841304743490448,0.9176065939991531,0.028814928999054246,26.90469561069491,0.9964945176605643,"{""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 25}"
Random Forest compact,random_forest_compact,2,2,4284,1071,0.9943977591036415,0.9943977591036415,0.9944903581267218,0.9943977591036415,0.9943973634651601,0.020431032628033512,0.01009004279845353,0.9160678480002389,0.02713465799934056,25.335815125434696,0.9814215411242879,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 25}"
Random Forest compact,random_forest_compact,3,3,4284,1071,1.0,1.0,1.0,1.0,1.0,0.00245387662723969,0.0009052131093926146,1.0169121130002168,0.027535152999917045,25.70976003727082,0.981112613765189,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 25}"
Random Forest compact,random_forest_compact,4,4,4284,1071,1.0,1.0,1.0,1.0,1.0,0.0015934142008086445,0.00010445262194628275,1.0225105129993608,0.02684902900000452,25.06912138189031,0.9831298960416935,"{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 25}"
Random Forest compact,random_forest_compact,5,5,4284,1071,0.9906629318394025,0.9906629318394025,0.9907969139900644,0.9906629318394025,0.9906303635238176,0.030106653578876603,0.01648829485666256,0.9910303500000737,0.027827933001390193,25.983130720252284,0.9852481631327925,"{""max_depth"": 6, ""min_samples_leaf"": 3, ""n_estimators"": 25}"
MLP compact 32-16,mlp_compact_32_16,1,1,4284,1071,0.9327731092436975,0.9327731092436974,0.9416554321542444,0.9327731092436974,0.9325231491228753,0.2848222094245843,0.11615814274511593,7.784537755000201,0.002654142001119908,2.478190477236142,0.9932299775436758,"{""model__alpha"": 0.001, ""model__learning_rate_init"": 0.0005}"
MLP compact 32-16,mlp_compact_32_16,2,2,4284,1071,0.992530345471522,0.992530345471522,0.9926940639269407,0.992530345471522,0.9925294076102736,0.022124973018549623,0.01156316854220989,6.985818391000066,0.0024564879986428423,2.2936395879018137,0.9745224082544439,"{""model__alpha"": 0.0001, ""model__learning_rate_init"": 0.001}"
MLP compact 32-16,mlp_compact_32_16,3,3,4284,1071,0.9953314659197012,0.9953314659197012,0.9953959484346225,0.9953314659197012,0.9953312369671873,0.012701248763955137,0.0074234479024309135,7.32954051500019,0.002665558999069617,2.4888506060407254,0.9719969214605586,"{""model__alpha"": 0.001, ""model__learning_rate_init"": 0.001}"
MLP compact 32-16,mlp_compact_32_16,4,4,4284,1071,0.9990662931839402,0.9990662931839402,0.9990689013035382,0.9990662931839402,0.9990662913524063,0.0027326452637567947,0.0015932207946044346,8.003048692000448,0.0022741880002286052,2.1234248368147575,0.9758401693985954,"{""model__alpha"": 0.0001, ""model__learning_rate_init"": 0.001}"
MLP compact 32-16,mlp_compact_32_16,5,5,4284,1071,0.9850606909430439,0.9850606909430439,0.9855105105105105,0.9850606909430439,0.9850038526129411,0.12654994509118297,0.029186804290847673,7.312177981999412,0.0024763780002103886,2.3122110179368707,0.9831614620773618,"{""model__alpha"": 0.001, ""model__learning_rate_init"": 0.001}"
MLP reference 64-32,mlp_reference_64_32,1,1,4284,1071,0.9122315592903828,0.9122315592903828,0.9266899996713662,0.9122315592903828,0.9114087436280224,0.5515715414161583,0.1621248925368226,8.388780457000394,0.0028881400012323866,2.696676004885515,0.9934588772767208,"{""model__alpha"": 0.001, ""model__learning_rate_init"": 0.001}"
MLP reference 64-32,mlp_reference_64_32,2,2,4284,1071,0.9953314659197012,0.9953314659197012,0.9953959484346225,0.9953314659197012,0.9953312369671873,0.01094229969766422,0.006747354280295184,10.0247008919996,0.014903166000294732,13.915187675345221,0.9777305575252587,"{""model__alpha"": 0.001, ""model__learning_rate_init"": 0.001}"
MLP reference 64-32,mlp_reference_64_32,3,3,4284,1071,0.9953314659197012,0.9953314659197012,0.9953959484346225,0.9953314659197012,0.9953312369671873,0.012350678811305828,0.007341373412036172,7.510542829000769,0.005358128999432665,5.002921568097727,0.9771206102954165,"{""model__alpha"": 0.001, ""model__learning_rate_init"": 0.0005}"
MLP reference 64-32,mlp_reference_64_32,4,4,4284,1071,1.0,1.0,1.0,1.0,1.0,0.0018076209191596798,0.0003092054602593759,8.723165311999765,0.010574916999757988,9.873872081940231,0.9772835151195033,"{""model__alpha"": 0.001, ""model__learning_rate_init"": 0.0005}"
MLP reference 64-32,mlp_reference_64_32,5,5,4284,1071,0.9869281045751634,0.9869281045751634,0.9874213836477987,0.9869281045751634,0.9869230769230769,0.13944684352102515,0.025898790074719676,8.804523879000044,0.027501988000949495,25.6787936516802,0.9890354701009357,"{""model__alpha"": 0.001, ""model__learning_rate_init"": 0.0005}"
