model,n_independent_subjects,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_cluster_bootstrap_ci95_low,accuracy_cluster_bootstrap_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,balanced_accuracy_cluster_bootstrap_ci95_low,balanced_accuracy_cluster_bootstrap_ci95_high,precision_macro_mean,precision_macro_std,precision_macro_min,precision_macro_max,precision_macro_cluster_bootstrap_ci95_low,precision_macro_cluster_bootstrap_ci95_high,recall_macro_mean,recall_macro_std,recall_macro_min,recall_macro_max,recall_macro_cluster_bootstrap_ci95_low,recall_macro_cluster_bootstrap_ci95_high,f1_macro_mean,f1_macro_std,f1_macro_min,f1_macro_max,f1_macro_cluster_bootstrap_ci95_low,f1_macro_cluster_bootstrap_ci95_high,log_loss_mean,log_loss_std,log_loss_min,log_loss_max,log_loss_cluster_bootstrap_ci95_low,log_loss_cluster_bootstrap_ci95_high,brier_multiclass_mean,brier_multiclass_std,brier_multiclass_min,brier_multiclass_max,brier_multiclass_cluster_bootstrap_ci95_low,brier_multiclass_cluster_bootstrap_ci95_high
Random Forest compact,5,0.9865546218487395,0.022071849586692657,0.9477124183006536,1.0,0.9674883286647992,0.9988795518207283,0.9865546218487395,0.022071849586692605,0.9477124183006537,1.0,0.9667600373482728,0.9988795518207283,0.9875765394054282,0.019940754871515635,0.9525954249103544,1.0,0.9697166377442257,0.9988980716253444,0.9865546218487395,0.022071849586692605,0.9477124183006537,1.0,0.9667600373482728,0.9988795518207283,0.986517301775943,0.02213789298700107,0.9475587818907373,1.0,0.966661341839206,0.9988794726930319,0.05052990668010905,0.083360076334654,0.0015934142008086445,0.1980645563655868,0.005705122856826037,0.12535083986057532,0.01920021016427189,0.028335524786246496,0.00010445262194628275,0.06841304743490448,0.002421874852226265,0.04327486710036558
Decision Tree d6,5,0.9837535014005603,0.02356199483934642,0.9430438842203548,1.0,0.9632119514472455,0.9977591036414566,0.9837535014005603,0.023561994839346373,0.9430438842203549,1.0,0.9632119514472457,0.9977591036414566,0.9853315094681436,0.020479338688881507,0.9502737520128824,1.0,0.9676090319535133,0.9978319783197833,0.9837535014005603,0.023561994839346373,0.9430438842203549,1.0,0.9632119514472457,0.9977591036414566,0.9836686381657674,0.02371775927591378,0.9426785668457219,1.0,0.9629815944183131,0.9977584704857432,0.5740899249724126,0.8514932051796624,0.00156332016189565,2.0529064955519574,0.0760951321401831,1.3201556503507477,0.03258499619409821,0.04705487821600509,0.00015556530889936974,0.11391223155929038,0.004637263364782219,0.07363603074739022
MLP compact 32-16,5,0.980952380952381,0.027418249381548163,0.9327731092436975,0.9990662931839402,0.9564892623716152,0.996265172735761,0.980952380952381,0.027418249381548212,0.9327731092436974,0.9990662931839402,0.956470588235294,0.996265172735761,0.9828649712659713,0.023566017863105814,0.9416554321542444,0.9990689013035382,0.9611745510815732,0.995784375779116,0.980952380952381,0.027418249381548212,0.9327731092436974,0.9990662931839402,0.9564892623716152,0.996265172735761,0.9808907875331367,0.027525800378817758,0.9325231491228753,0.9990662913524063,0.9555809073897509,0.9962648928498922,0.08978620431240576,0.1198843929180429,0.0027326452637567947,0.2848222094245843,0.010598552214794697,0.19874356442577817,0.03318495685504177,0.04751244484697686,0.0015932207946044346,0.11615814274511593,0.005919301187256117,0.07432015306395352
Logistic Regression,5,0.9796451914098974,0.027329073749506588,0.9318394024276377,1.0,0.9548085901027079,0.9957049486461251,0.9796451914098974,0.027329073749506636,0.9318394024276376,1.0,0.9548085901027077,0.9951447245564893,0.9816389152170586,0.023508020170998144,0.9407500782839433,1.0,0.9608133383129391,0.9958312419026123,0.9796451914098974,0.027329073749506636,0.9318394024276376,1.0,0.9553688141923435,0.9951447245564893,0.9795282479390888,0.027569678954599244,0.93128551148625,1.0,0.9544708952966294,0.9956995884048794,0.08445604469799049,0.11263793305889194,0.005819648440856296,0.278751469129461,0.01682254038386271,0.18535178770322416,0.035468953661239824,0.047941101765344184,0.0012508169434647801,0.11953959793558805,0.008341844320269486,0.07931511291554344
MLP reference 64-32,5,0.9779645191409898,0.03704710505584154,0.9122315592903828,1.0,0.9447245564892623,0.9971988795518207,0.9779645191409898,0.03704710505584154,0.9122315592903828,1.0,0.9447245564892622,0.9971988795518207,0.980980656037682,0.030685074121503474,0.9266899996713662,1.0,0.9541723791766688,0.9972375690607735,0.9779645191409898,0.03704710505584154,0.9122315592903828,1.0,0.9447245564892623,0.9971988795518207,0.9777988588970947,0.037411756133209004,0.9114087436280224,1.0,0.9432961089548663,0.9971987421803125,0.1432237968730626,0.23525881928083667,0.0018076209191596798,0.5515715414161583,0.007570104008990726,0.35919381773773196,0.0404843231528266,0.06866557391275785,0.0003092054602593759,0.1621248925368226,0.004290898578629058,0.10251653462908936
